benchmark,few_shot__MiniMaxAI_MiniMax-M2.7__method,few_shot__MiniMaxAI_MiniMax-M2.7__jpf_pass,few_shot__MiniMaxAI_MiniMax-M2.7__violation_type,few_shot__MiniMaxAI_MiniMax-M2.7__timeout,few_shot__MiniMaxAI_MiniMax-M2.7__pass_kind,few_shot__MiniMaxAI_MiniMax-M2.7__instructions,few_shot__MiniMaxAI_MiniMax-M2.7__states_new,few_shot__MiniMaxAI_MiniMax-M2.7__states_end,few_shot__MiniMaxAI_MiniMax-M2.7__depth,few_shot__MiniMaxAI_MiniMax-M2.7__notes,few_shot__Qwen_Qwen3-Coder-Next-FP8__method,few_shot__Qwen_Qwen3-Coder-Next-FP8__jpf_pass,few_shot__Qwen_Qwen3-Coder-Next-FP8__violation_type,few_shot__Qwen_Qwen3-Coder-Next-FP8__timeout,few_shot__Qwen_Qwen3-Coder-Next-FP8__pass_kind,few_shot__Qwen_Qwen3-Coder-Next-FP8__instructions,few_shot__Qwen_Qwen3-Coder-Next-FP8__states_new,few_shot__Qwen_Qwen3-Coder-Next-FP8__states_end,few_shot__Qwen_Qwen3-Coder-Next-FP8__depth,few_shot__Qwen_Qwen3-Coder-Next-FP8__notes,zero_shot__MiniMaxAI_MiniMax-M2.7__method,zero_shot__MiniMaxAI_MiniMax-M2.7__jpf_pass,zero_shot__MiniMaxAI_MiniMax-M2.7__violation_type,zero_shot__MiniMaxAI_MiniMax-M2.7__timeout,zero_shot__MiniMaxAI_MiniMax-M2.7__pass_kind,zero_shot__MiniMaxAI_MiniMax-M2.7__instructions,zero_shot__MiniMaxAI_MiniMax-M2.7__states_new,zero_shot__MiniMaxAI_MiniMax-M2.7__states_end,zero_shot__MiniMaxAI_MiniMax-M2.7__depth,zero_shot__MiniMaxAI_MiniMax-M2.7__notes,zero_shot__Qwen_Qwen3-Coder-Next-FP8__method,zero_shot__Qwen_Qwen3-Coder-Next-FP8__jpf_pass,zero_shot__Qwen_Qwen3-Coder-Next-FP8__violation_type,zero_shot__Qwen_Qwen3-Coder-Next-FP8__timeout,zero_shot__Qwen_Qwen3-Coder-Next-FP8__pass_kind,zero_shot__Qwen_Qwen3-Coder-Next-FP8__instructions,zero_shot__Qwen_Qwen3-Coder-Next-FP8__states_new,zero_shot__Qwen_Qwen3-Coder-Next-FP8__states_end,zero_shot__Qwen_Qwen3-Coder-Next-FP8__depth,zero_shot__Qwen_Qwen3-Coder-Next-FP8__notes
LCM,LCM,false,skipped,false,,,,,,no_rac_class,LCM.lcm,true,,false,A,207495,12,81,3,pass_kind=A; entry=lcm,LCM,false,skipped,false,,,,,,no_rac_class,LCM.lcm,true,,false,A,52444,11,81,3,pass_kind=A; entry=lcm
LargestPerimeter,LargestPerimeter.largestPerimeter,true,,false,A,6986959,468,2801,5,pass_kind=A; entry=largestPerimeter,LargestPerimeter,false,skipped,false,,,,,,no_rac_class,LargestPerimeter.largestPerimeter,true,,false,A,10888283,469,2801,5,pass_kind=A; entry=largestPerimeter,LargestPerimeter,false,skipped,false,,,,,,no_rac_class
LeapYear,LeapYear.isLeapYear,true,,false,A,10934,2,9,2,pass_kind=A; entry=isLeapYear,LeapYear.isLeapYear,true,,false,A,10952,2,9,2,pass_kind=A; entry=isLeapYear,LeapYear.isLeapYear,true,,false,A,10458,2,9,2,pass_kind=A; entry=isLeapYear,LeapYear,false,skipped,false,,,,,,no_rac_class
LeapYearSeq,LeapYearSeq.isLeapYear,true,,false,A,10898,2,9,2,pass_kind=A; entry=isLeapYear,LeapYearSeq.isLeapYear,true,,false,A,10916,2,9,2,pass_kind=A; entry=isLeapYear,LeapYearSeq.isLeapYear,true,,false,A,12075,3,9,2,pass_kind=A; entry=isLeapYear,LeapYearSeq,false,skipped,false,,,,,,no_rac_class
LinearSearch,LinearSearch.linearSearch,true,,false,A,72460457,4213,25209,7,pass_kind=A; entry=linearSearch,LinearSearch.linearSearch,true,,false,A,37519940,4209,25209,7,pass_kind=A; entry=linearSearch,LinearSearch,false,skipped,false,,,,,,no_rac_class,LinearSearch,false,skipped,false,,,,,,no_rac_class
MatrixAdd,MatrixAdd,false,skipped,false,,,,,,no_rac_class,MatrixAdd,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][],MatrixAdd,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][],MatrixAdd,false,skipped,false,,,,,,no_rac_class
MatrixMul,MatrixMul,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][],MatrixMul,false,skipped,false,,,,,,harness_unsupported:unsupported param type: int[][],MatrixMul,false,skipped,false,,,,,,no_rac_class,MatrixMul,false,skipped,false,,,,,,no_rac_class
MaxInArray,MaxInArray.maxElementInArray,true,,false,A,1113913,468,2801,5,pass_kind=A; entry=maxElementInArray,MaxInArray.maxElementInArray,true,,false,A,7156948,470,2801,5,pass_kind=A; entry=maxElementInArray,MaxInArray,false,skipped,false,,,,,,no_rac_class,MaxInArray,false,skipped,false,,,,,,no_rac_class
MinInArray,MinInArray.minElementInArray,true,,false,A,1082917,468,2801,5,pass_kind=A; entry=minElementInArray,MinInArray.minElementInArray,true,,false,A,4959784,469,2801,5,pass_kind=A; entry=minElementInArray,MinInArray.minElementInArray,true,,false,A,1082917,468,2801,5,pass_kind=A; entry=minElementInArray,MinInArray,false,skipped,false,,,,,,no_rac_class
MoveZeroes,MoveZeroes,false,skipped,false,,,,,,no_rac_class,MoveZeroes.moveZeroes,true,,false,A,13686908,475,2801,6,pass_kind=A; entry=moveZeroes,MoveZeroes.moveZeroes,true,,false,A,19063607,479,2801,6,pass_kind=A; entry=moveZeroes,MoveZeroes,false,skipped,false,,,,,,no_rac_class
MulLoop,MulLoop.mulLoop,true,,false,A,30976,11,81,3,pass_kind=A; entry=mulLoop,MulLoop.mulLoop,true,,false,A,84895,11,81,3,pass_kind=A; entry=mulLoop,MulLoop,false,skipped,false,,,,,,no_rac_class,MulLoop,false,skipped,false,,,,,,no_rac_class
MulNested,MulNested,false,skipped,false,,,,,,no_rac_class,MulNested.mulNested,true,,false,A,227068,11,81,3,pass_kind=A; entry=mulNested,MulNested,false,skipped,false,,,,,,no_rac_class,MulNested.mulNested,true,,false,A,217024,11,81,3,pass_kind=A; entry=mulNested
MyPower,MyPower.power,true,,false,A,22012,11,81,3,pass_kind=A; entry=power,MyPower,false,skipped,false,,,,,,no_rac_class,MyPower,false,skipped,false,,,,,,no_rac_class,MyPower,false,skipped,false,,,,,,no_rac_class
MySqrt,MySqrt,false,skipped,false,,,,,,no_rac_class,MySqrt.mySqrt,true,,false,A,24411,5,9,2,pass_kind=A; entry=mySqrt,MySqrt.mySqrt,true,,false,A,23721,5,9,2,pass_kind=A; entry=mySqrt,MySqrt,false,skipped,false,,,,,,no_rac_class
NegAbs,NegAbs.negAbs,true,,false,A,10586,2,9,2,pass_kind=A; entry=negAbs,NegAbs.negAbs,true,,false,A,11313,2,9,2,pass_kind=A; entry=negAbs,NegAbs.negAbs,true,,false,A,10730,2,9,2,pass_kind=A; entry=negAbs,NegAbs,false,skipped,false,,,,,,no_rac_class
NextGreaterElem,NextGreaterElem,false,skipped,false,,,,,,no_rac_class,NextGreaterElem,false,skipped,false,,,,,,no_rac_class,NextGreaterElem,false,skipped,false,,,,,,no_rac_class,NextGreaterElem,false,skipped,false,,,,,,no_rac_class
NotCommonFactor,NotCommonFactor.notCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,207132,93,729,4,pass_kind=n/a; entry=notCommonFactor,NotCommonFactor.notCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,399308,94,729,4,pass_kind=n/a; entry=notCommonFactor,NotCommonFactor.notCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,207132,93,729,4,pass_kind=n/a; entry=notCommonFactor,NotCommonFactor,false,skipped,false,,,,,,no_rac_class
NotCommonFactorBranch,NotCommonFactorBranch.notCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,209004,93,729,4,pass_kind=n/a; entry=notCommonFactor,NotCommonFactorBranch.notCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,180452,93,729,4,pass_kind=n/a; entry=notCommonFactor,NotCommonFactorBranch.notCommonFactor,false,NoUncaughtExceptionsProperty,false,n/a,209004,93,729,4,pass_kind=n/a; entry=notCommonFactor,NotCommonFactorBranch,false,skipped,false,,,,,,no_rac_class
NotCommonMultiple,NotCommonMultiple.NotCommonMultiple,false,NoUncaughtExceptionsProperty,false,n/a,223766,94,729,4,pass_kind=n/a; entry=NotCommonMultiple,NotCommonMultiple.NotCommonMultiple,false,NoUncaughtExceptionsProperty,false,n/a,172620,93,729,4,pass_kind=n/a; entry=NotCommonMultiple,NotCommonMultiple.NotCommonMultiple,false,NoUncaughtExceptionsProperty,false,n/a,223766,94,729,4,pass_kind=n/a; entry=NotCommonMultiple,NotCommonMultiple,false,skipped,false,,,,,,no_rac_class
NumberOfCuts,NumberOfCuts.numberOfCuts,true,,false,A,10467,2,9,2,pass_kind=A; entry=numberOfCuts,NumberOfCuts.numberOfCuts,true,,false,A,11575,2,9,2,pass_kind=A; entry=numberOfCuts,NumberOfCuts.numberOfCuts,true,,false,A,12520,3,9,2,pass_kind=A; entry=numberOfCuts,NumberOfCuts.numberOfCuts,true,,false,A,13491,4,9,2,pass_kind=A; entry=numberOfCuts
NumberOfCutsSeq,NumberOfCutsSeq.numberOfCuts,true,,false,A,12239,3,9,2,pass_kind=A; entry=numberOfCuts,NumberOfCutsSeq.numberOfCuts,true,,false,A,13786,4,9,2,pass_kind=A; entry=numberOfCuts,NumberOfCutsSeq.numberOfCuts,true,,false,A,12193,3,9,2,pass_kind=A; entry=numberOfCuts,NumberOfCutsSeq.numberOfCuts,true,,false,A,10473,2,9,2,pass_kind=A; entry=numberOfCuts
OddEven,OddEven.isEven,true,,false,A,10556,2,9,2,pass_kind=A; entry=isEven,OddEven.isEven,true,,false,A,14564,3,9,2,pass_kind=A; entry=isEven,OddEven.isEven,true,,false,A,10700,2,9,2,pass_kind=A; entry=isEven,OddEven.isEven,true,,false,A,10718,2,9,2,pass_kind=A; entry=isEven
PassPillow,PassPillow.passPillow,false,NoUncaughtExceptionsProperty,false,n/a,51987,13,81,3,pass_kind=n/a; entry=passPillow,PassPillow.passPillow,false,NoUncaughtExceptionsProperty,false,n/a,45193,13,81,3,pass_kind=n/a; entry=passPillow,PassPillow.passPillow,false,NoUncaughtExceptionsProperty,false,n/a,45193,13,81,3,pass_kind=n/a; entry=passPillow,PassPillow.passPillow,false,NoUncaughtExceptionsProperty,false,n/a,53657,14,81,3,pass_kind=n/a; entry=passPillow
PassPillowBranch,PassPillowBranch.passPillow,false,NoUncaughtExceptionsProperty,false,n/a,25687,12,81,3,pass_kind=n/a; entry=passPillow,PassPillowBranch.passPillow,false,NoUncaughtExceptionsProperty,false,n/a,43792,14,81,3,pass_kind=n/a; entry=passPillow,PassPillowBranch,false,skipped,false,,,,,,no_rac_class,PassPillowBranch,false,skipped,false,,,,,,no_rac_class
Perimeter,Perimeter.Perimeter,true,,false,A,11050,2,9,2,pass_kind=A; entry=Perimeter,Perimeter.Perimeter,true,,false,A,11050,2,9,2,pass_kind=A; entry=Perimeter,Perimeter,false,skipped,false,,,,,,no_rac_class,Perimeter.Perimeter,true,,false,A,11077,2,9,2,pass_kind=A; entry=Perimeter
PowerOfFour,PowerOfFour.isPowerOfFour,true,,false,A,10805,2,9,2,pass_kind=A; entry=isPowerOfFour,PowerOfFour.isPowerOfFour,true,,false,A,10823,2,9,2,pass_kind=A; entry=isPowerOfFour,PowerOfFour.isPowerOfFour,true,,false,A,10949,2,9,2,pass_kind=A; entry=isPowerOfFour,PowerOfFour.isPowerOfFour,true,,false,A,10363,2,9,2,pass_kind=A; entry=isPowerOfFour
PowerOfFourBranch,PowerOfFourBranch.isPowerOfFour,true,,false,A,12070,3,9,2,pass_kind=A; entry=isPowerOfFour,PowerOfFourBranch.isPowerOfFour,true,,false,A,12041,3,9,2,pass_kind=A; entry=isPowerOfFour,PowerOfFourBranch.isPowerOfFour,true,,false,A,10928,2,9,2,pass_kind=A; entry=isPowerOfFour,PowerOfFourBranch.isPowerOfFour,true,,false,A,10342,2,9,2,pass_kind=A; entry=isPowerOfFour
PowerOfFourLoop,PowerOfFourLoop.isPowerOfFour,true,,false,A,10384,2,9,2,pass_kind=A; entry=isPowerOfFour,PowerOfFourLoop.isPowerOfFour,true,,false,A,12876,4,9,2,pass_kind=A; entry=isPowerOfFour,PowerOfFourLoop,false,skipped,false,,,,,,no_rac_class,PowerOfFourLoop,false,skipped,false,,,,,,no_rac_class
PowerOfThree,PowerOfThree.isPowerOfThree,true,,false,A,10655,2,9,2,pass_kind=A; entry=isPowerOfThree,PowerOfThree,false,skipped,false,,,,,,no_rac_class,PowerOfThree,false,skipped,false,,,,,,no_rac_class,PowerOfThree.isPowerOfThree,true,,false,A,17025,4,9,2,pass_kind=A; entry=isPowerOfThree
PowerOfTwo,PowerOfTwo.isPowerOfTwo,true,,false,A,10624,2,9,2,pass_kind=A; entry=isPowerOfTwo,PowerOfTwo.isPowerOfTwo,true,,false,A,12732,3,9,2,pass_kind=A; entry=isPowerOfTwo,PowerOfTwo,false,skipped,false,,,,,,no_rac_class,PowerOfTwo.isPowerOfTwo,true,,false,A,10280,2,9,2,pass_kind=A; entry=isPowerOfTwo
PowerOfTwoBranch,PowerOfTwoBranch.isPowerOfTwo,true,,false,A,10643,2,9,2,pass_kind=A; entry=isPowerOfTwo,PowerOfTwoBranch.isPowerOfTwo,true,,false,A,12751,3,9,2,pass_kind=A; entry=isPowerOfTwo,PowerOfTwoBranch.isPowerOfTwo,true,,false,A,10643,2,9,2,pass_kind=A; entry=isPowerOfTwo,PowerOfTwoBranch.isPowerOfTwo,true,,false,A,10299,2,9,2,pass_kind=A; entry=isPowerOfTwo
PowerOfTwoLoop,PowerOfTwoLoop.isPowerOfTwo,true,,false,A,10489,2,9,2,pass_kind=A; entry=isPowerOfTwo,PowerOfTwoLoop.isPowerOfTwo,true,,false,A,16017,6,9,2,pass_kind=A; entry=isPowerOfTwo,PowerOfTwoLoop.isPowerOfTwo,true,,false,A,12090,3,9,2,pass_kind=A; entry=isPowerOfTwo,PowerOfTwoLoop,false,skipped,false,,,,,,no_rac_class
PrimeCheck,PrimeCheck.isPrime,true,,false,A,10457,2,9,2,pass_kind=A; entry=isPrime,PrimeCheck.isPrime,true,,false,A,14645,3,9,2,pass_kind=A; entry=isPrime,PrimeCheck,false,skipped,false,,,,,,no_rac_class,PrimeCheck,false,skipped,false,,,,,,no_rac_class
PrimeNumbers,PrimeNumbers,false,skipped,false,,,,,,no_rac_class,PrimeNumbers,false,skipped,false,,,,,,no_rac_class,PrimeNumbers,false,skipped,false,,,,,,no_rac_class,PrimeNumbers,false,skipped,false,,,,,,no_rac_class
ReLU,ReLU.computeReLU,true,,false,A,9660,2,5,2,pass_kind=A; entry=computeReLU,ReLU.computeReLU,true,,false,A,10561,3,5,2,pass_kind=A; entry=computeReLU,ReLU.computeReLU,true,,false,A,9660,2,5,2,pass_kind=A; entry=computeReLU,ReLU,false,skipped,false,,,,,,no_rac_class
ReLUSeq,ReLUSeq.computeReLU,true,,false,A,9743,2,5,2,pass_kind=A; entry=computeReLU,ReLUSeq.computeReLU,true,,false,A,9663,2,5,2,pass_kind=A; entry=computeReLU,ReLUSeq.computeReLU,true,,false,A,9743,2,5,2,pass_kind=A; entry=computeReLU,ReLUSeq,false,skipped,false,,,,,,no_rac_class
RepeatedChar,RepeatedChar,false,skipped,false,,,,,,no_rac_class,RepeatedChar,false,skipped,false,,,,,,no_rac_class,RepeatedChar,false,skipped,false,,,,,,no_rac_class,RepeatedChar,false,skipped,false,,,,,,no_rac_class
RepeatedCharNested,RepeatedCharNested.repeatedChar,true,,false,A,747189,31,703,3,pass_kind=A; entry=repeatedChar,RepeatedCharNested,false,skipped,false,,,,,,no_rac_class,RepeatedCharNested,false,skipped,false,,,,,,no_rac_class,RepeatedCharNested,false,skipped,false,,,,,,no_rac_class
RepeatedNumNested,RepeatedNumNested.repeatedNum,true,,false,A,1285188,468,2801,5,pass_kind=A; entry=repeatedNum,RepeatedNumNested,false,skipped,false,,,,,,no_rac_class,RepeatedNumNested,false,skipped,false,,,,,,no_rac_class,RepeatedNumNested,false,skipped,false,,,,,,no_rac_class
Return100,Return100.return100,true,,false,B,15140,1,1,1,pass_kind=B; entry=return100,Return100.return100,true,,false,B,24813,1,1,1,pass_kind=B; entry=return100,Return100.return100,true,,false,B,21799,1,1,1,pass_kind=B; entry=return100,Return100,false,skipped,false,,,,,,no_rac_class
Return100Nested,Return100Nested.return100,true,,false,B,15760,1,1,1,pass_kind=B; entry=return100,Return100Nested.return100,true,,false,B,36373,1,1,1,pass_kind=B; entry=return100,Return100Nested.return100,true,,false,B,32733,1,1,1,pass_kind=B; entry=return100,Return100Nested.return100,true,,false,B,36121,1,1,1,pass_kind=B; entry=return100
ReverseArray,ReverseArray.reverse,true,,false,A,1355132,468,2801,5,pass_kind=A; entry=reverse,ReverseArray.reverse,true,,false,A,7843114,468,2801,5,pass_kind=A; entry=reverse,ReverseArray.reverse,true,,false,A,7873925,468,2801,5,pass_kind=A; entry=reverse,ReverseArray,false,skipped,false,,,,,,no_rac_class
ReverseString,ReverseString,false,skipped,false,,,,,,no_rac_class,ReverseString,false,skipped,false,,,,,,no_rac_class,ReverseString,false,skipped,false,,,,,,no_rac_class,ReverseString,false,skipped,false,,,,,,no_rac_class
RotateArray,RotateArray,false,skipped,false,,,,,,no_rac_class,RotateArray,false,skipped,false,,,,,,no_rac_class,RotateArray,false,skipped,false,,,,,,no_rac_class,RotateArray,false,skipped,false,,,,,,no_rac_class
SelectionSort,SelectionSort,false,skipped,false,,,,,,no_rac_class,SelectionSort.selectionSort,true,,false,A,7720206,468,2801,5,pass_kind=A; entry=selectionSort,SelectionSort,false,skipped,false,,,,,,no_rac_class,SelectionSort.selectionSort,true,,false,A,14962701,469,2801,5,pass_kind=A; entry=selectionSort
SelectionSortDesc,SelectionSortDesc.selectionSort,true,,false,A,16095890,471,2801,6,pass_kind=A; entry=selectionSort,SelectionSortDesc,false,skipped,false,,,,,,no_rac_class,SelectionSortDesc.selectionSort,true,,false,A,2916909,468,2801,5,pass_kind=A; entry=selectionSort,SelectionSortDesc,false,skipped,false,,,,,,no_rac_class
SetZero,SetZero.SetZero,false,NoUncaughtExceptionsProperty,false,n/a,21974591,28479,226881,7,pass_kind=n/a; entry=SetZero,SetZero.SetZero,false,NoUncaughtExceptionsProperty,true,n/a,,,,,pass_kind=n/a; entry=SetZero; wall_timeout_s=30.0,SetZero,false,skipped,false,,,,,,no_rac_class,SetZero,false,skipped,false,,,,,,no_rac_class
Smallest,Smallest.Smallest,true,,false,A,5635400,468,2801,5,pass_kind=A; entry=Smallest,Smallest.Smallest,true,,false,A,5635400,468,2801,5,pass_kind=A; entry=Smallest,Smallest.Smallest,true,,false,A,5327283,468,2801,5,pass_kind=A; entry=Smallest,Smallest,false,skipped,false,,,,,,no_rac_class
SmallestEvenMul,SmallestEvenMul.smallestEvenMultiple,true,,false,A,12257,3,9,2,pass_kind=A; entry=smallestEvenMultiple,SmallestEvenMul,false,skipped,false,,,,,,no_rac_class,SmallestEvenMul,false,skipped,false,,,,,,no_rac_class,SmallestEvenMul,false,skipped,false,,,,,,no_rac_class
SmallestEvenMulBranch,SmallestEvenMulBranch.smallestEvenMultiple,true,,false,A,11121,2,9,2,pass_kind=A; entry=smallestEvenMultiple,SmallestEvenMulBranch.smallestEvenMultiple,true,,false,A,13897,3,9,2,pass_kind=A; entry=smallestEvenMultiple,SmallestEvenMulBranch.smallestEvenMultiple,true,,false,A,11309,3,9,2,pass_kind=A; entry=smallestEvenMultiple,SmallestEvenMulBranch,false,skipped,false,,,,,,no_rac_class
SolveQuadraticEquation,SolveQuadraticEquation.solve,false,NoUncaughtExceptionsProperty,false,n/a,1398232,93,729,4,pass_kind=n/a; entry=solve,SolveQuadraticEquation,false,skipped,false,,,,,,no_rac_class,SolveQuadraticEquation.solve,false,NoUncaughtExceptionsProperty,false,n/a,1321687,93,729,4,pass_kind=n/a; entry=solve,SolveQuadraticEquation,false,skipped,false,,,,,,no_rac_class
SortLibrary,SortLibrary.sort,true,,false,A,6802407,468,2801,5,pass_kind=A; entry=sort,SortLibrary.sort,true,,false,A,6743586,468,2801,5,pass_kind=A; entry=sort,SortLibrary,false,skipped,false,,,,,,no_rac_class,SortLibrary,false,skipped,false,,,,,,no_rac_class
StrPalindrome,StrPalindrome,false,skipped,false,,,,,,no_rac_class,StrPalindrome.isPalindrome,true,,false,A,3505134,31,703,3,pass_kind=A; entry=isPalindrome,StrPalindrome,false,skipped,false,,,,,,no_rac_class,StrPalindrome.isPalindrome,true,,false,A,3242655,31,703,3,pass_kind=A; entry=isPalindrome
SubLoop,SubLoop,false,skipped,false,,,,,,no_rac_class,SubLoop.subLoop,true,,false,A,75850,11,81,3,pass_kind=A; entry=subLoop,SubLoop.subLoop,true,,false,A,70747,11,81,3,pass_kind=A; entry=subLoop,SubLoop.subLoop,true,,false,A,89791,15,81,3,pass_kind=A; entry=subLoop
Swap,Swap.swap,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=swap; wall_timeout_s=30.0,Swap.swap,false,exit_code_-9,true,n/a,,,,,pass_kind=n/a; entry=swap; wall_timeout_s=30.0,Swap,false,skipped,false,,,,,,no_rac_class,Swap.swap,true,,false,A,23285928,28478,226881,7,pass_kind=A; entry=swap
Temperatures,Temperatures.convertTemperature,true,,false,A,10289,2,5,2,pass_kind=A; entry=convertTemperature,Temperatures.convertTemperature,true,,false,A,10239,2,5,2,pass_kind=A; entry=convertTemperature,Temperatures.convertTemperature,true,,false,A,9854,2,5,2,pass_kind=A; entry=convertTemperature,Temperatures,false,skipped,false,,,,,,no_rac_class
ThreeConsecutiveOdds,ThreeConsecutiveOdds.threeConsecutiveOdds,true,,false,A,911102,468,2801,5,pass_kind=A; entry=threeConsecutiveOdds,ThreeConsecutiveOdds.threeConsecutiveOdds,true,,false,A,3141544,469,2801,5,pass_kind=A; entry=threeConsecutiveOdds,ThreeConsecutiveOdds,false,skipped,false,,,,,,no_rac_class,ThreeConsecutiveOdds,false,skipped,false,,,,,,no_rac_class
TransposeMatrix,TransposeMatrix,false,skipped,false,,,,,,no_rac_class,TransposeMatrix,false,skipped,false,,,,,,no_rac_class,TransposeMatrix,false,skipped,false,,,,,,no_rac_class,TransposeMatrix,false,skipped,false,,,,,,no_rac_class
TwoSum,TwoSum,false,skipped,false,,,,,,no_rac_class,TwoSum.twoSum,true,,false,A,46846259,3269,25209,6,pass_kind=A; entry=twoSum,TwoSum,false,skipped,false,,,,,,no_rac_class,TwoSum,false,skipped,false,,,,,,no_rac_class
UglyNum,UglyNum,false,skipped,false,,,,,,no_rac_class,UglyNum.isUgly,true,,false,A,15358,3,9,2,pass_kind=A; entry=isUgly,UglyNum.isUgly,true,,false,A,21847,5,9,2,pass_kind=A; entry=isUgly,UglyNum,false,skipped,false,,,,,,no_rac_class
UglyNumLoop,UglyNumLoop.isUgly,true,,false,A,10393,2,9,2,pass_kind=A; entry=isUgly,UglyNumLoop.isUgly,true,,false,A,18894,5,9,2,pass_kind=A; entry=isUgly,UglyNumLoop,false,skipped,false,,,,,,no_rac_class,UglyNumLoop,false,skipped,false,,,,,,no_rac_class
UniqueCharNested,UniqueCharNested,false,skipped,false,,,,,,no_rac_class,UniqueCharNested,false,skipped,false,,,,,,no_rac_class,UniqueCharNested.uniqueChar,true,,false,A,1284041,31,703,3,pass_kind=A; entry=uniqueChar,UniqueCharNested,false,skipped,false,,,,,,no_rac_class
UniqueNumNested,UniqueNumNested.uniqueNum,true,,false,A,1440343,468,2801,5,pass_kind=A; entry=uniqueNum,UniqueNumNested.uniqueNum,true,,false,A,6839618,468,2801,5,pass_kind=A; entry=uniqueNum,UniqueNumNested.uniqueNum,true,,false,A,2036312,468,2801,5,pass_kind=A; entry=uniqueNum,UniqueNumNested,false,skipped,false,,,,,,no_rac_class
XOR,XOR.xor,true,,false,A,9616,4,4,3,pass_kind=A; entry=xor,XOR.xor,true,,false,A,9722,4,4,3,pass_kind=A; entry=xor,XOR.xor,true,,false,A,9680,4,4,3,pass_kind=A; entry=xor,XOR,false,skipped,false,,,,,,no_rac_class
